site,ph,acid,Ca,Mg,K,CICE,SA,P,Zn,Cu,Fe,Mn,CE,C,N,C_N
MS160,5.4,0.44,2.59,0.79,0.1,3.92,11,1,1,8,51,65,0.2,8.06,0.65,12.4
MS175,5.3,1,3.35,1.11,0.15,5.61,18,2,1.7,5,48,96,0.4,16.1,1.18,13.6
MS106,5.2,1.94,2.73,2.35,0.09,7.11,27,1,0.9,5,150,109,0.2,6.14,0.48,12.8
MS101,5,2.4,2.72,0.8,0.11,6.03,40,NA,1.4,7,124,231,0.2,3.29,0.27,12.2
MS147,5.3,0.47,6.44,2.64,0.24,9.79,5,2,1.4,13,53,104,0.4,7.37,0.63,11.7
MS123,5,7.63,19.55,5.37,0.18,32.73,23,NA,2,3,47,123,0.1,3.21,0.3,10.7
MS105,5.8,0.18,27.24,12.32,0.2,39.94,0.5,1,1.8,6,23,198,0.3,3.92,0.37,10.6
MS140,6.1,0.14,16.4,2.11,0.16,18.81,0.7,1,1.2,4,12,50,0.5,10.81,0.96,11.3
MS116,5,2.38,14.83,8.23,0.19,25.63,9,1,4.3,93,245,155,0.1,2.31,0.28,8.2
MS165,6,0.2,7.3,2.82,0.26,10.58,2,1,1.5,10,33,54,0.3,11.29,0.93,12.1
MS130,4.5,14.56,8.28,1.99,0.17,25,58,3,2.6,3,284,160,0.5,6.93,0.56,12.4
MS79,4.8,1.58,5.03,3.23,0.12,9.96,16,1,1.3,7,161,411,0.5,4.61,0.41,11.2
MS188,4.2,1.32,0.87,0.73,0.34,3.26,41,42,1.8,1,21,8,0.3,45.73,2.23,20.5
MS190,4,2.07,1.05,1.2,0.45,4.77,43,59,3.9,1,152,5,0.4,36.59,1.94,18.9
