Plot,Date,Bait,Richness,abundance,Onthophagus praecellens,Onthophagus acuminatus,Phanaeus pyrois,Dichotomius satanas,Copris incertus,Copris sp1,Canthidium sp1,Deltochilum gibbosum ,Dichotomius annae,Morpho sp3,Coprophanaeus pecki,Onthophagus nyctopus,Onthophagus nevorivagus,Pedaridium sp1,Onthophagus nyctopus ,Onthophagus limonensis,Uroxys boneti,Coprophanaeus telamon,Canthon aequinoctialis,Coprophanaeus solisi,Euristernus sp1,Eurysternus foedus,Dichotomuis sp1,Sulcophanaeus noctis,Uroxys sp1,Uroxys sp2,Deltochilium sp1,Cyclocephala lurida,Canthon angustatus,Onthophagus haematopus,Canthidium anagabrielae,Canthidium sp1,Onthophagus batesi,Sulcophanaeus noctis,Morpho sp1,Eurysternus vastiorum,Onthophagus digranius,Onthophagus sp1,Morpho sp2,Eurysternus ps2,Eurysternus mexicanus,Onthophagus sp3,Onthophagus sp2,Canthidium haroldi,Eurysternus sp4,Eurysternus sp3,Canton Fulgidus,Coprophanaeus corythus,Coprophanaeus gilli,Canthon molineatus,Canthidium ardens,Canthon subhyalinus,Coprophanaeus chiriquensis,Coprophanaeus sp1,Canthidium angusticeps,Eurysternus parallelus,Onthophagus sp3,Coprophanaeus sp1,Deltochilum burmeisteri,Deltochilum komareike,Onthophagus sp4,Canthon subyalinus,Onthophagus coriaceoumbrosus,Canthidium sp2,Onthophagus sp5,Morpho sp4,Dichotomius mamillatus,Onthophagus sp6
MS105,6/23/2021,Dung,6,33,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
MS106,6/23/2021,Dung-Carrion,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS106,6/23/2021,Dung,5,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MS109,6/23/2021,Dung-Carrion,5,7,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS109,6/23/2021,Dung,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS109,6/23/2021,Dung,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MS11,6/22/2021,Dung,4,142,0,122,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MS11,5/29/2021,Carrion,8,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MS110,6/23/2021,Dung,7,47,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS110,6/23/2021,Dung-Carrion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
