"name","id","dttm"
"SWIFT_20200403_150000.wav","1XQI69wY2o-3hwGMT8xMSwZ8cEa28nxDR",2020-04-03 15:00:00
"SWIFT_20200403_060000.wav","1OthwBNqJZo2-8f4LJob03b_5ileeOu3q",2020-04-03 06:00:00
"SWIFT_20200403_010000.wav","1woA0DiqvatgX-EltLw6ZWN8Bzp64VlYH",2020-04-03 01:00:00
"SWIFT_20200402_150000.wav","1ZwHl-C26qqPcidtU6XdS-udbb-9uK7T0",2020-04-02 15:00:00
"SWIFT_20200402_060000.wav","1xXMYY-fFC7BsiL7YzKXXLKZAgYs4Q1u5",2020-04-02 06:00:00
"SWIFT_20200402_010000.wav","17gcAKlVCGz4aVYSJHUcJPMBgAW67hLI4",2020-04-02 01:00:00
"SWIFT_20200401_150000.wav","1YNDRXIPn7zGDFHUTSBwuww6-Wusv6IrI",2020-04-01 15:00:00
"SWIFT_20200401_060000.wav","1fWdENqKjYFCwRYtaUQ2WZi-TVe4RyBep",2020-04-01 06:00:00
"SWIFT_20200401_010000.wav","19Ck62kffADXS6L1XP0MaGqd64Cg6MfT2",2020-04-01 01:00:00
"SWIFT_20200410_082506.wav","1XSZLHDb4IxFR_gOYvdI9_hL9-NhcJhMo",2020-04-10 08:25:06
"SWIFT_20200410_085931.wav","1q7H-nOiIO2sRZvxtYaK0Ysj_c4LFFQBN",2020-04-10 08:59:31
"SWIFT_20200410_085537.wav","13RhwJcyMOEBCu24qRdbuvt0sxSJzwC53",2020-04-10 08:55:37
"SWIFT_20200410_085204.wav","1GDKGN0XCV9eTEcl1zyMdq4IECi97svMV",2020-04-10 08:52:04
"SWIFT_20200410_084652.wav","1A273BYq3ffqD9G5Mu6Deiyla-rgpuqCc",2020-04-10 08:46:52
"SWIFT_20200410_084239.wav","1npbI_Gx_0qKawZXpZ4TZXvRcd0UrqncU",2020-04-10 08:42:39
"SWIFT_20200410_083913.wav","132TZcFJvgyaDGXgLd0vHloom_XnBb3Qi",2020-04-10 08:39:13
"SWIFT_20200410_083530.wav","1-y9LUuNJQFAHAbbeNFOmQwyHiu7ixRmA",2020-04-10 08:35:30
"SWIFT_20200410_082828.wav","1O7_6L0cnf_lxFUJCFRgpCeLRq7RbL4Sm",2020-04-10 08:28:28
"SWIFT_20200410_083155.wav","1QA6ImwlugZ8iDgAkEKWqcqfwBsyYxBay",2020-04-10 08:31:55
"SWIFT_20200410_082130.wav","12nrQ3Q4MIc1eObE5KfooZ-5c6GdIe-70",2020-04-10 08:21:30
"SWIFT_20200410_081830.wav","1yaI2ykYPmKhSgjd97G2hctZyelx-N_Yc",2020-04-10 08:18:30
"SWIFT_20200410_081432.wav","1HcdDtPK-_8FHyPq5UeRu8oJ4I9mo3hsf",2020-04-10 08:14:32
"SWIFT_20200410_081042.wav","1FTsudBdi7nRNgc8KxJ9L_cVfRHiUFATw",2020-04-10 08:10:42
"SWIFT_20200410_080740.wav","1iFrwxNC11m_FpuX3xn1pW-W39598FJ74",2020-04-10 08:07:40
"SWIFT_20200410_080407.wav","147HZp4-jY3yiCDZGzjuC-ktDMsd2ZuH2",2020-04-10 08:04:07
"SWIFT_20200410_080110.wav","1W3X9aCqTiN7QQT_qxkrPx9r6HYb2tSqH",2020-04-10 08:01:10
"SWIFT_20200410_075530.wav","10YQ_qY0QA7SHUMYjg078yAUmdG1c7jLw",2020-04-10 07:55:30
"SWIFT_20200410_075822.wav","19K7dlrfHWjq0nllfMt3amN_ovw3thZrn",2020-04-10 07:58:22
"SWIFT_20200410_075234.wav","12ig9_7zc3j9pMYvH2ox1cVu8g9QrbWOW",2020-04-10 07:52:34
"SWIFT_20200410_074935.wav","1cDRCahsdm--OtxdBQybcyZkwOHhv-JSr",2020-04-10 07:49:35
"SWIFT_20200410_074645.wav","1mpHW51Hg-RTwZs4anwr2SP12L7-po68W",2020-04-10 07:46:45
"SWIFT_20200410_074404.wav","1guYixqNedp4-G4VPp6dWEhfyjPK752Nd",2020-04-10 07:44:04
"SWIFT_20200410_073830.wav","1H0OJ6pM-WoVSB3inpPTR9A5m5qIqk6nz",2020-04-10 07:38:30
